Booth ,Dims ,Size ,X Coords,Y Coords
3716,40'x30',1200,845',352'
3727,20'x20',400,845',402'
3735,20'x20',400,845',442'
3741,20'x20',400,845',472'
3747,10'x20',200,845',502'
3753,10'x20',200,845',532'
3759,70'x50',3500,845',562'
3825,10'x10',100,875',392'
3827,10'x20',200,875',402'
3831,10'x10',100,875',422'
3835,20'x20',400,875',442'
3841,20'x20',400,875',472'
3846,10'x10',100,855',502'
3847,10'x10',100,875',502'
3848,10'x10',100,855',512'
3849,10'x10',100,875',512'
3852,10'x10',100,855',532'
3853,10'x10',100,875',532'
3854,10'x10',100,855',542'
3855,10'x10',100,875',542'
3901,20'x20',400,905',272'
3907,20'x40',800,905',302'
3917,20'x30',600,905',352'
3924,10'x10',100,885',392'
3925,10'x10',100,905',392'
3926,10'x20',200,885',402'
3927,10'x10',100,905',402'
3929,10'x20',200,905',412'
3930,10'x10',100,885',422'
3935,20'x20',400,905',442'
3941,20'x20',400,905',472'
3946,10'x20',200,885',502'
3947,20'x20',400,905',502'
3952,10'x10',100,885',532'
3953,20'x20',400,905',532'
3954,10'x10',100,885',542'
4001,20'x20',400,935',272'
4007,20'x20',400,935',302'
4013,10'x20',200,935',332'
4017,10'x20',200,935',352'
4023,20'x20',400,935',382'
4024,10'x10',100,915',392'
4026,10'x10',100,915',402'
4028,10'x20',200,915',412'
4029,20'x20',400,935',412'
4035,20'x20',400,935',442'
4041,20'x20',400,935',472'
4047,20'x20',400,935',402'
4053,20'x20',400,935',432'
4062,10'x10',100,915',582'
4064,10'x10',100,915',592'
4066,10'x10',100,925',602'
4067,10'x10',100,935',602'
4101,20'x20',400,965',272'
4107,20'x20',400,965',302'
4112,10'x20',200,945',332'
4113,20'x40',800,965',332'
4116,10'x20',200,945',352'
4123,20'x20',400,965',382'
4129,20'x20',400,965',412'
4135,20'x20',400,965',442'
4141,10'x10',100,965',472'
4143,10'x10',100,965',482'
4145,10'x10',100,965',492'
4147,10'x20',200,965',502'
4153,10'x10',100,965',532'
4155,10'x10',100,965',542'
4166,10'10',100,945',602'
4168,10'10',100,955',602'
4167,10'10',100,965',602'
4201,20'x40',800,995',272'
4211,20'x30',600,995',322'
4219,20'x30',600,995',362'
4227,20'x30',600,995',402'
4235,20'x20',400,995',442'
4240,10'x20',200,975',472'
4241,20'x20',400,995',472'
4244,10'x10',100,975',492'
4246,10'x20',200,975',502'
4247,20'x20',400,995',502'
4252,10'x20',200,975',532'
4253,20'x20',400,995',532'
4266,10'x10',100,975',602'
4268,10'x10',100,985',602'
4267,10'x10',100,995',602'
4301,10'x20',200,1025',272'
4305,10'x20',200,1025',292'
4311,20'x30',600,1025',322'
4319,20'x30',600,1025',362'
4327,20'x30',600,1025',402'
4335,10'x10',100,1025',442'
4337,10'x10',100,1025',452'
4339,10'x10',100,1025',462'
4341,10'x10',100,1025',472'
4343,10'x10',100,1025',482'
4345,10'x10',100,1025',492'
4347,10'x20',200,1025',502'
4353,10'x20',200,1025',532'
4366,10'x10',100,1005',602'
4368,10'x10',100,1015',602'
4367,10'x10',100,1025',602'
4400,10'x20',200,1035',272'
4401,10'x20',200,1055',272'
4404,10'x20',200,1035',292'
4405,10'x10',100,1055',292'
4407,10'x10',100,1055',302'
4409,10'x10',100,1055',312'
4411,10'x10',100,1055',322'
4413,10'x20',200,1055',332'
4417,10'x10',100,1055',352'
4419,10'x10',100,1055',362'
4421,10'x20',200,1055',372'
4425,10'x20',200,1055',392'
4429,10'x20',200,1055',412'
4434,10'x10',100,1035',442'
4435,10'x10',100,1055',442'
4436,10'x10',100,1035',452'
4437,10'x10',100,1055',452'
4438,10'x20',200,1035',462'
4439,10'x10',100,1055',462'
4441,10'x10',100,1055',472'
4442,10'x10',100,1035',482'
4443,10'x10',100,1055',482'
4444,10'x10',100,1035',492'
4445,10'x10',100,1055',492'
4446,10'x10',100,1035',502'
4447,10'x20',200,1055',502'
4448,10'x10',100,1035',512'
4452,10'x10',100,1035',532'
4453,10'x20',200,1055',532'
4454,10'x10',100,1035',542'
4463,10'x10',100,1055',582'
4465,10'x10',100,1055',592'
4466,10'x10',100,1035',602'
4501,15'x15',225,1085',272'
4505,15'x15',225,1085',297'
4511,15'x15',225,1085',322'
4515,15'x15',225,1085',347'
4521,15'x15',225,1085',372'
4525,15'x15',225,1085',397'
4531,15'x15',225,1085',422'
4535,15'x15',225,1085',447'
4541,15'x15',225,1085',472'
4547,20'x30',600,1085',502'
