Booth ,Dims ,Size ,X Coords,Y Coords
1870,10'x10',100,490',350'
1873,10'x10',100,510',360'
1875,10'x20',200,510',370'
1881,20'x30',600,510',400'
1886,10'x20',200,490',430'
1889,20'x20',400,510',440'
1894,10'x20',200,490',470'
1895,20'x20',400,510',470'
1925,20'x30',600,540',120'
1931,10'x20',200,540',150'
1935,20'x30',600,540',170'
1936,10'x20',200,520',180'
1943,20'x20',400,540',210'
1949,20'x20',400,540',240'
1955,20'x30',600,540',270'
1962,10'x10',100,520',310'
1963,20'x20',400,540',310'
1964,10'x30',300,520',320'
1969,20'x20',400,540',340'
1972,10'x20',200,520',360'
1975,20'x20',400,540',370'
1976,10'x10',100,520',380'
1981,20'x30',600,540',400'
1989,20'x20',400,540',440'
1995,20'x20',400,540',470'
2001,20'x20',400,570',0'
2007,20'x20',400,570',30'
2013,Custom,300,570',60'
2019,20'x20',400,570',90'
2025,20'x20',400,570',120'
2031,20'x20',400,570',150'
2037,10'x20',200,570',180'
2043,20'x20',400,570',210'
2049,20'x20',400,570',240'
2055,10'x20',200,570',270'
2059,10'x10',100,570',290'
2063,20'x20',400,570',310'
2069,20'x20',400,570',340'
2075,20'x20',400,570',370'
2081,20'x20',400,570',400'
2087,20'x20',400,570',430'
2095,10'x20',200,570',470'
2101,20'x30',600,600',0'
2117,20'x30',600,600',40'
2125,20'x20',400,600',80'
2131,20'x20',400,600',120'
2137,20'x20',400,600',150'
2138,10'x10',100,580',190'
2143,20'x30',600,600',210'
2151,20'x20',400,600',250'
2157,20'x20',400,600',280'
2158,10'x10',100,580',290'
2163,20'x30',600,600',310'
2171,20'x40',800,600',350'
2181,20'x30',600,600',400'
2189,20'x20',400,600',440'
2194,10'x10',100,580',470'
2195,20'x20',400,600',470'
2196,10'x10',100,580',480'
2201,10'x10',100,630',0'
2203,10'x10',100,630',10'
2205,10'x10',100,630',20'
2207,10'x10',100,630',30'
2209,10'x20',200,630',40'
2213,10'x10',100,630',60'
2215,10'x10',100,630',70'
2217,10'x10',100,630',80'
